id,user_id,user_name,title,description,created_at,published_at,game,url,thumbnail_url,viewable,view_count,language,type,duration
740989718,207813352,HasanAbi,ITS MONDAY WHICH MEANS NEWSTIME,,2020-09-14T18:00:25Z,2020-09-14T18:00:25Z,Just Chatting,https://www.twitch.tv/videos/740989718,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/72584f9c49cfd192adb6_hasanabi_39681994158_1600106416//thumb/thumb0-%{width}x%{height}.jpg,public,390730,en,archive,11h35m4s
740900988,69906737,chocoTaco,TSM chocoTaco || PMA Monday,,2020-09-14T16:08:31Z,2020-09-14T16:08:31Z,Multiple,https://www.twitch.tv/videos/740900988,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/0610846063df16a45a59_chocotaco_39680887598_1600099693//thumb/thumb0-%{width}x%{height}.jpg,public,80308,en,archive,4h49m15s
740702381,19571641,Ninja,One game of valorant and then bed,,2020-09-14T08:42:02Z,2020-09-14T08:42:02Z,Valorant,https://www.twitch.tv/videos/740702381,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/525e18ea02ed10b28d89_ninja_39678471870_1600072915//thumb/thumb0-%{width}x%{height}.jpg,public,157495,en,archive,43m17s
740494122,19571641,Ninja,Last minute planned Among us stream,,2020-09-14T01:24:33Z,2020-09-14T01:24:33Z,Among Us,https://www.twitch.tv/videos/740494122,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/d4b6fabfe244f62ca8e6_ninja_39674492814_1600046665//thumb/thumb0-%{width}x%{height}.jpg,public,2063866,en,archive,7h16m33s
740226088,32140000,SypherPK,g drone 2,,2020-09-13T19:56:54Z,2020-09-13T19:56:54Z,,https://www.twitch.tv/videos/740226088,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/ba9b50820caa459e7f22_sypherpk_14130423462_8561365786//thumb/thumb740226088-%{width}x%{height}.jpg,public,832,en,highlight,7m50s
740158243,32140000,SypherPK,2nd channel,,2020-09-13T18:42:44Z,2020-09-13T18:42:44Z,,https://www.twitch.tv/videos/740158243,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/140459ad99451f3ef544_sypherpk_31364306860_5976807305//thumb/thumb740158243-%{width}x%{height}.jpg,public,154,en,highlight,16m52s
740158242,32140000,SypherPK,flying as iron man,,2020-09-13T18:42:44Z,2020-09-13T18:42:44Z,,https://www.twitch.tv/videos/740158242,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/8715abadc3727293fd0c_sypherpk_14665615176_1315790429//thumb/thumb740158242-%{width}x%{height}.jpg,public,129,en,highlight,25m5s
740129829,207813352,HasanAbi,ITS SUNDEEEE FUNDEEEE,,2020-09-13T18:11:15Z,2020-09-13T18:11:15Z,Just Chatting,https://www.twitch.tv/videos/740129829,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/d5b64a574d4f4301b376_hasanabi_39669480478_1600020666//thumb/thumb0-%{width}x%{height}.jpg,public,490080,en,archive,11h25m52s
740090972,32140000,SypherPK,Content -> Sub Booth End of Stream | @SypherPK | 👹,,2020-09-13T17:29:52Z,2020-09-13T17:29:52Z,Multiple,https://www.twitch.tv/videos/740090972,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/6137457a1dff827c3e12_sypherpk_39669126318_1600018174//thumb/thumb0-%{width}x%{height}.jpg,public,131683,en,archive,4h33m57s
739582870,26154978,Sykkuno,derp amongus at 8 !,,2020-09-13T02:38:29Z,2020-09-13T02:38:29Z,Among Us,https://www.twitch.tv/videos/739582870,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/6decc2b4de9d25e91381_sykkuno_39662535486_1599964700//thumb/thumb0-%{width}x%{height}.jpg,public,321098,en,archive,6h19m58s
739526864,110690086,Myth,"Among Us w/ Ninja, Rae, Courage, Lupo n LOTS MORE",,2020-09-13T01:36:21Z,2020-09-13T01:36:21Z,Among Us,https://www.twitch.tv/videos/739526864,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/e3c61d90f0728ffe7500_myth_39661542030_1599960965//thumb/thumb0-%{width}x%{height}.jpg,public,561959,en,archive,7h38m11s
739404068,19571641,Ninja,Fall guys / Just chatting | Among us Tonight at 9 central!,,2020-09-12T23:20:32Z,2020-09-12T23:20:32Z,Multiple,https://www.twitch.tv/videos/739404068,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/cbd0f3aaa7184b0997b5_ninja_39659529582_1599952824//thumb/thumb0-%{width}x%{height}.jpg,public,3390101,en,archive,11h7m15s
739259530,32140000,SypherPK,content andy,,2020-09-12T20:37:27Z,2020-09-12T20:37:27Z,,https://www.twitch.tv/videos/739259530,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/b8e3cb084b6713d6e27a_sypherpk_73819787644_6775228673//thumb/thumb739259530-%{width}x%{height}.jpg,public,383,en,highlight,18m18s
739219223,32140000,SypherPK,insane jarvis,,2020-09-12T19:56:05Z,2020-09-12T19:56:05Z,,https://www.twitch.tv/videos/739219223,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/bb36941175f51797965e_sypherpk_83613053419_4308698493//thumb/thumb739219223-%{width}x%{height}.jpg,public,279,en,highlight,21m19s
739186937,32140000,SypherPK,g drone,,2020-09-12T19:23:12Z,2020-09-12T19:23:12Z,,https://www.twitch.tv/videos/739186937,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/b08599e8dc771302d93c_sypherpk_41162633758_3016011980//thumb/thumb739186937-%{width}x%{height}.jpg,public,34,en,highlight,22m43s
739186936,32140000,SypherPK,filler game,,2020-09-12T19:23:12Z,2020-09-12T19:23:12Z,,https://www.twitch.tv/videos/739186936,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/efa1b110eac47a7b0037_sypherpk_93853740329_9260056471//thumb/thumb739186936-%{width}x%{height}.jpg,public,30,en,highlight,20m58s
739110471,207813352,HasanAbi,EARLY OKBUD AND FUNDAY AYOOOO!!!,,2020-09-12T18:06:13Z,2020-09-12T18:06:13Z,Just Chatting,https://www.twitch.tv/videos/739110471,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/38543051025835b2631d_hasanabi_39655921870_1599933964//thumb/thumb0-%{width}x%{height}.jpg,public,324735,en,archive,11h26m56s
739109761,32140000,SypherPK,Pro Fortnite Content Creator | @SypherPK | 👹 !HeadBand,,2020-09-12T18:05:31Z,2020-09-12T18:05:31Z,Multiple,https://www.twitch.tv/videos/739109761,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/51cc46624b99ade86256_sypherpk_39655913310_1599933912//thumb/thumb0-%{width}x%{height}.jpg,public,222314,en,archive,6h34m25s
739027309,32140000,SypherPK,weact,,2020-09-12T16:30:22Z,2020-09-12T16:30:22Z,,https://www.twitch.tv/videos/739027309,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/956ac6590d64044a5c1b_sypherpk_47362095188_7719563637//thumb/thumb739027309-%{width}x%{height}.jpg,public,51,en,highlight,13m10s
738451771,110690086,Myth,DECEIVING EVERYONE,,2020-09-12T00:56:49Z,2020-09-12T00:56:49Z,Among Us,https://www.twitch.tv/videos/738451771,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/d56e70ddad2fb0f1a968_myth_39646662590_1599872194//thumb/thumb0-%{width}x%{height}.jpg,public,428623,en,archive,9h10m34s
738434897,26154978,Sykkuno,amongus w friens at 6!,,2020-09-12T00:39:54Z,2020-09-12T00:39:54Z,Among Us,https://www.twitch.tv/videos/738434897,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/b5cebf5905d6bda94c04_sykkuno_39646388910_1599871185//thumb/thumb0-%{width}x%{height}.jpg,public,534088,en,archive,9h26m34s
738400018,69906737,chocoTaco,TSM chocoTaco || watch party @ 7:30 PT,,2020-09-12T00:04:44Z,2020-09-12T00:04:44Z,Multiple,https://www.twitch.tv/videos/738400018,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/19e800f1c986b03d89ac_chocotaco_39645836350_1599869066//thumb/thumb0-%{width}x%{height}.jpg,public,40787,en,archive,4h13m41s
738213827,32140000,SypherPK,mythic marvin,,2020-09-11T20:45:40Z,2020-09-11T20:45:40Z,,https://www.twitch.tv/videos/738213827,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/1ef231c41f27727226c4_sypherpk_88304952182_8566071954//thumb/thumb738213827-%{width}x%{height}.jpg,public,180,en,highlight,21m24s
738202440,32140000,SypherPK,glitch gary,,2020-09-11T20:32:53Z,2020-09-11T20:32:53Z,,https://www.twitch.tv/videos/738202440,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/dfc3dc72812642b9d409_sypherpk_61152500540_8031137532//thumb/thumb738202440-%{width}x%{height}.jpg,public,62,en,highlight,22m9s
738103227,19571641,Ninja,V a l o r a n t Grind begins | Among us tonight at 8 CENTRAL with a SOLID crew! ,,2020-09-11T18:52:09Z,2020-09-11T18:52:09Z,Valorant,https://www.twitch.tv/videos/738103227,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/0cc2d9493da9901d0470_ninja_39642237054_1599850321//thumb/thumb0-%{width}x%{height}.jpg,public,4541834,en,archive,15h15m21s
738058951,207813352,HasanAbi,ITS FRIDAYYY THEEEEENNNN ,,2020-09-11T18:03:54Z,2020-09-11T18:03:54Z,Just Chatting,https://www.twitch.tv/videos/738058951,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/d02e4f84d4887f510025_hasanabi_39641878462_1599847424//thumb/thumb0-%{width}x%{height}.jpg,public,346577,en,archive,12h31m11s
738058470,32140000,SypherPK,PRO FORTNITE CONTENT CREATOR | @SypherPK | 👹 !HeadBand,,2020-09-11T18:03:26Z,2020-09-11T18:03:26Z,Fortnite,https://www.twitch.tv/videos/738058470,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/124fdffc0acc0ba4c40d_sypherpk_39641873470_1599847389//thumb/thumb0-%{width}x%{height}.jpg,public,176983,en,archive,5h29m50s
737920681,32140000,SypherPK,2x impostor,,2020-09-11T15:01:03Z,2020-09-11T15:01:03Z,,https://www.twitch.tv/videos/737920681,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/b2944613db673d919e8a_sypherpk_44783984354_4801957596//thumb/thumb737920681-%{width}x%{height}.jpg,public,85,en,highlight,20m26s
737920680,32140000,SypherPK,good crew game,,2020-09-11T15:01:03Z,2020-09-11T15:01:03Z,,https://www.twitch.tv/videos/737920680,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/f7e7a54ecffaabd38dac_sypherpk_59006758563_4361645178//thumb/thumb737920680-%{width}x%{height}.jpg,public,38,en,highlight,13m47s
737664072,19571641,Ninja,Late night val for a bit,,2020-09-11T04:40:30Z,2020-09-11T04:40:30Z,Valorant,https://www.twitch.tv/videos/737664072,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/77399ce849b9795289cf_ninja_39637474046_1599799221//thumb/thumb0-%{width}x%{height}.jpg,public,88026,en,archive,13m8s
737571439,32140000,SypherPK,filler skin game,,2020-09-11T02:28:13Z,2020-09-11T02:28:13Z,,https://www.twitch.tv/videos/737571439,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/69b4d0081f89a798fe1e_sypherpk_74415168650_9401541584//thumb/thumb737571439-%{width}x%{height}.jpg,public,216,en,highlight,18m15s
737522859,32140000,SypherPK,sypherpk skin,,2020-09-11T01:34:00Z,2020-09-11T01:34:00Z,,https://www.twitch.tv/videos/737522859,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/9116c500a2c408c0ab85_sypherpk_43106612038_1775273076//thumb/thumb737522859-%{width}x%{height}.jpg,public,206,en,highlight,11m44s
737504389,32140000,SypherPK,marvel items,,2020-09-11T01:13:36Z,2020-09-11T01:13:36Z,,https://www.twitch.tv/videos/737504389,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/4ea1db8063eaa8225097_sypherpk_70340421958_2178803259//thumb/thumb737504389-%{width}x%{height}.jpg,public,98,en,highlight,35m38s
737455342,32140000,SypherPK,juice,,2020-09-11T00:22:46Z,2020-09-11T00:22:46Z,,https://www.twitch.tv/videos/737455342,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/bc71c6724491c79f92b4_sypherpk_63493695566_2495767285//thumb/thumb737455342-%{width}x%{height}.jpg,public,32,en,highlight,18m17s
737452699,32140000,SypherPK,new skins are amazing,,2020-09-11T00:19:51Z,2020-09-11T00:19:51Z,,https://www.twitch.tv/videos/737452699,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/a74f4653395c13fd5fb1_sypherpk_86684373897_1884151075//thumb/thumb737452699-%{width}x%{height}.jpg,public,11,en,highlight,9m55s
737441251,32140000,SypherPK,vendetta flopps,,2020-09-11T00:07:35Z,2020-09-11T00:07:35Z,,https://www.twitch.tv/videos/737441251,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/29c511fb0f10cbe932fa_sypherpk_56996554015_3638705738//thumb/thumb737441251-%{width}x%{height}.jpg,public,13,en,highlight,9m5s
737418194,32140000,SypherPK,BIG FORTNITE UPDATE (Iron Man + More!) | @SypherPK | 👹 !HeadBand,,2020-09-10T23:44:34Z,2020-09-10T23:44:34Z,Fortnite,https://www.twitch.tv/videos/737418194,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/f77a9117a95d17198556_sypherpk_39633300590_1599781456//thumb/thumb0-%{width}x%{height}.jpg,public,209453,en,archive,4h29m2s
737151651,19571641,Ninja,Starting soon!,,2020-09-10T18:46:13Z,2020-09-10T18:46:13Z,Multiple,https://www.twitch.tv/videos/737151651,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/9e4c35950bb256282b3b_ninja_39630073966_1599763564//thumb/thumb0-%{width}x%{height}.jpg,public,4454748,en,archive,9h53m18s
737143551,19571641,Ninja,Starting soon!,,2020-09-10T18:37:01Z,2020-09-10T18:37:01Z,None,https://www.twitch.tv/videos/737143551,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/7379a45515493085e26f_ninja_39630009726_1599763014//thumb/thumb0-%{width}x%{height}.jpg,public,152106,en,archive,8m41s
737107323,110690086,Myth,WATCHIN Ubi FWD 2 - !Ubisoft - #ad,,2020-09-10T17:59:32Z,2020-09-10T17:59:32Z,Just Chatting,https://www.twitch.tv/videos/737107323,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/03b2bce41440374bb712_myth_39629737006_1599760756//thumb/thumb0-%{width}x%{height}.jpg,public,55977,en,archive,2h3m11s
737101062,207813352,HasanAbi,CALIFORNIA IS ORANGE,,2020-09-10T17:53:19Z,2020-09-10T17:53:19Z,Just Chatting,https://www.twitch.tv/videos/737101062,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/57ee61729ab4a8d8fc24_hasanabi_39629694302_1599760390//thumb/thumb0-%{width}x%{height}.jpg,public,287412,en,archive,9h30m3s
737037252,32140000,SypherPK,testing terry,,2020-09-10T16:34:52Z,2020-09-10T16:34:52Z,,https://www.twitch.tv/videos/737037252,https://static-cdn.jtvnw.net/cf_vods/d2nvs31859zcd8/707a95ea2c01a1a02764_sypherpk_89645283637_1497934611//thumb/thumb737037252-%{width}x%{height}.jpg,public,101,en,highlight,8m33s
