from_id,from_name,to_id,to_name,followed_at
603663548,25588936,69906737,chocoTaco,2020-11-05T19:07:41Z
592653101,mrpotatoman080605,69906737,chocoTaco,2020-11-05T19:06:48Z
272259113,sssooonnnaaa19,69906737,chocoTaco,2020-11-05T19:06:19Z
559756713,joandevour,69906737,chocoTaco,2020-11-05T19:06:10Z
525669994,voyevodagg,69906737,chocoTaco,2020-11-05T19:06:02Z
458486763,whitesad33,69906737,chocoTaco,2020-11-05T19:05:49Z
180249923,stimpy007,69906737,chocoTaco,2020-11-05T19:03:39Z
473654284,Carpz_TTV,69906737,chocoTaco,2020-11-05T19:02:55Z
70841685,topiarry,69906737,chocoTaco,2020-11-05T18:51:50Z
147990167,fish12005,69906737,chocoTaco,2020-11-05T18:50:59Z
414174840,pratik_nayak,69906737,chocoTaco,2020-11-05T18:50:34Z
604019534,imkevin7375,69906737,chocoTaco,2020-11-05T18:50:16Z
449980832,AJiterEgo,69906737,chocoTaco,2020-11-05T18:49:33Z
185714125,Para_Lax,69906737,chocoTaco,2020-11-05T18:48:35Z
604019223,camdon008,69906737,chocoTaco,2020-11-05T18:48:08Z
276643453,oldgamerCL117,69906737,chocoTaco,2020-11-05T18:47:09Z
76690696,Capt_Penguin12358,69906737,chocoTaco,2020-11-05T18:46:23Z
574274394,noobshunter69,69906737,chocoTaco,2020-11-05T18:45:12Z
601458813,sask59,69906737,chocoTaco,2020-11-05T18:45:10Z
547404143,tmg4mer_yt,69906737,chocoTaco,2020-11-05T18:44:04Z
604017208,fearlessxop,69906737,chocoTaco,2020-11-05T18:43:49Z
602185662,brandonj1124,69906737,chocoTaco,2020-11-05T18:42:45Z
212675574,bezerks_,69906737,chocoTaco,2020-11-05T18:42:28Z
587713857,Derek_iz_Raw,69906737,chocoTaco,2020-11-05T18:42:15Z
510323062,tastetheclutch,69906737,chocoTaco,2020-11-05T18:41:54Z
487014743,jnt29,69906737,chocoTaco,2020-11-05T18:40:54Z
600563462,bloodclaat,69906737,chocoTaco,2020-11-05T18:40:37Z
